island,species,year,source,lon,lat
Oahu,Pityrogramma_calomelanos,2022,iNaturalist,-157.9221028,21.60900556
Kauai,Pityrogramma_calomelanos,2022,iNaturalist,-159.4146583,22.02574717
Kauai,Pityrogramma_calomelanos,2022,iNaturalist,-159.52163,22.21292
Hawaii,Pityrogramma_calomelanos,2022,iNaturalist,-154.8899533,19.48624
Hawaii,Pityrogramma_calomelanos,2022,iNaturalist,-155.0786444,19.52918611
Hawaii,Pityrogramma_calomelanos,2022,iNaturalist,-155.078525,19.52946667
Hawaii,Pityrogramma_calomelanos,2022,iNaturalist,-155.824555,19.10957783
Hawaii,Pityrogramma_calomelanos,2022,iNaturalist,-155.1305861,19.68690556
Kauai,Pityrogramma_calomelanos,1961,Pteridoportal,-159.618363,22.197026
Maui,Pityrogramma_calomelanos,1998,BISH,-156.633333,20.866667
Maui,Pellaea_ternifolia,2018,iNaturalist,-156.2500639,20.71314167
Maui,Pellaea_ternifolia,2022,iNaturalist,-156.2488383,20.71944667
Maui,Pellaea_ternifolia,2021,iNaturalist,-156.2466133,20.7594
Maui,Pellaea_ternifolia,2021,iNaturalist,-156.2439799,20.77059636
Maui,Pellaea_ternifolia,2018,iNaturalist,-156.23415,20.73728056
Maui,Pellaea_ternifolia,2021,iNaturalist,-156.2338414,20.73692056
Maui,Pellaea_ternifolia,2022,iNaturalist,-156.217786,20.70665897
Maui,Pellaea_ternifolia,2021,iNaturalist,-156.2131368,20.73873312
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.91133,19.77605333
Hawaii,Pellaea_ternifolia,2020,iNaturalist,-155.9111167,19.71508667
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.8406533,19.79895333
Hawaii,Pellaea_ternifolia,2015,iNaturalist,-155.632763,19.753315
Hawaii,Pellaea_ternifolia,2020,iNaturalist,-155.5296783,19.80459213
Hawaii,Pellaea_ternifolia,2018,iNaturalist,-155.4697669,19.60892346
Hawaii,Pellaea_ternifolia,2018,iNaturalist,-155.4673045,19.6882759
Hawaii,Pellaea_ternifolia,2018,iNaturalist,-155.4656235,19.67585806
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.4642033,19.68576333
Hawaii,Pellaea_ternifolia,2012,iNaturalist,-155.4595,19.75583333
Hawaii,Pellaea_ternifolia,2019,iNaturalist,-155.3893883,19.50269667
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.3891944,19.50263056
Hawaii,Pellaea_ternifolia,2022,iNaturalist,-155.3854698,19.49870503
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.3673113,19.36868032
Hawaii,Pellaea_ternifolia,2022,iNaturalist,-155.3159176,19.4426878
Maui,Pellaea_ternifolia,1981,GBIF,-156.267,20.8
Maui,Pellaea_ternifolia,2019,GBIF,-156.2525,20.76971
Maui,Pellaea_ternifolia,2020,GBIF,-156.250384,20.7136
Maui,Pellaea_ternifolia,2018,GBIF,-156.250381,20.713464
Maui,Pellaea_ternifolia,2018,GBIF,-156.250232,20.713597
